Transfers of major conventional arms from All countries  to Singapore  . Deals with deliveries made for the year range 'Not specified' to 'Not specified' 
A '?' in a column indicates uncertain data. The 'Number delivered' and the 'Year(s) of deliveries' refer only to deliveries in the selected year(s).
An empty field for 'Number ordered' indicates that data is not yet available.
SIPRI trend-indicator values (TIVs) are in millions.
An empty field for 'SIPRI TIV for total order' indicates that data (on the number ordered and/or the TIV per unit) is not available.
A '0' for 'SIPRI TIV of delivered weapons' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV; and an empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV and explanations of the conventions; abbreviations and acronyms see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 15 Mar 2025 3:16:35 PM
Recipient,Supplier,Year of order, ,Number ordered, ,Weapon designation,Weapon description,Number delivered, ,Year(s) of delivery,status,Comments,SIPRI TIV per unit,SIPRI TIV for total order,SIPRI TIV of delivered weapons
Singapore,France,1984,,22,,AS-532 Cougar,transport helicopter,22,,1985; 1986; 1987; 1988,New,AS-332M version; incl for SAR; 17 assembled from kits in Singapore,7.25,159.5,159.5
Singapore,Israel,2023,?,100,?,Blue Spear,anti-ship missile,0,,,New,For modernized Formidable frigates,1.25,125,0
Singapore,United States,2010,?,8,,F-15E Strike Eagle,FGA aircraft,8,,2013,New,F-15SG version,70,560,560
Singapore,Israel,2010,?,10,?,Heron,UAV,10,,2012; 2013,New,,3,30,30
Singapore,United States,2020,?,4,,F-35B Lightning-2,FGA aircraft,0,,,New,Delivery planned 2026,60,240,0
Singapore,United States,2007,,4,,Gulfstream-5,light transport aircraft,4,,2009; 2010; 2011,New,G-550 version; ordered via Israel and modified to AEW&C aircraft in Israel before delivery,28,112,112
Singapore,United States,2001,?,54,?,M-109 chassis,self-propelled gun chassis,54,,2001; 2002; 2003; 2004; 2005,New,For use as chassis of SSPH-1 Primus self-propelled gun (with Singaporean 155mm gun turret); ALV and command post produced in Singapore,0.35,18.9,18.9
Singapore,Israel,2012,,2,?,EL/M-2083 APR,air search radar,2,,2016,New,For use on aerostat,15,30,30
Singapore,Germany,2017,,2,,Type-218,submarine,0,,,New,Type-218SG version; Singaporean designation Invincible; incl production of components in Singapore; delivery planned by 2026,325,650,0
Singapore,France,2014,?,60,?,Sherpa,APC,60,,2015,New,,0.25,15,15
Singapore,unknown supplier(s),1982,?,5,?,Bell-205A-1,helicopter,5,,1982; 1983; 1984,Second hand,Second-hand; Bell-205A-1 version,1.05,5.24,5.24
Singapore,United States,2013,,,,vehicle engine,vehicle engine,257,,2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023,New,Cummins ISBe2-300 (295hp) diesel engine for Marauder (PCSV or Belrex) APC from South Africa,0.03,0,7.71
Singapore,United States,2001,,12,,AH-64D Apache Longbow,combat helicopter,12,,2005,New,$617 m 'Peace Vanguard' deal; stationed in USA until 2006,15.5,186,186
Singapore,Israel,2015,?,250,?,Python-5,long-range air-to-air missile,250,,2021; 2022; 2023,New,For modernized F-16 combat aircraft,0.25,62.5,62.5
Singapore,United States,2007,,12,,F-15E Strike Eagle,FGA aircraft,12,,2010; 2011; 2012,New,$1 b deal; F-15SG version,70,840,840
Singapore,United Kingdom,1966,?,1,,LCT-8,landing ship,1,,1966,Second hand,Second-hand; Singaporean designation Cairn hill,8,8,8
Singapore,United States,2006,?,24,?,AAQ-33 Sniper ATP,aircraft EO system,24,,2009; 2010; 2011; 2012,New,For F-15 combat aircraft,1,24,24
Singapore,Israel,1999,,1500,?,Spike-MR/LR,anti-tank missile,1500,,2001; 2002; 2003; 2004; 2005; 2006,New,$150 m deal; incl production under licence in Singapore; probably Spike-LR version,0.03,45,45
Singapore,New Zealand,1969,?,2,,Airtourer,trainer aircraft,2,,1969,New,Possibly Second-hand; aid,0.08,0.16,0.16
Singapore,Italy,2007,?,50,?,Black Shark,anti-ship/anti-submarine torpedo,50,,2011; 2012,New,For Västergotland submarines,1.6,80,80
Singapore,Israel,2016,?,500,?,Spike-SR,anti-tank missile,500,,2017; 2018; 2019,New,,0.02,10,10
Singapore,Israel,2005,?,10,,Litening,aircraft EO system,10,,2006; 2007,New,,1,10,10
Singapore,Germany,2023,?,,,vehicle engine,vehicle engine,0,,,New,MTU TD-106 (325hp) diesel engine for Bronco-3 APC produced in Singapore,0.05,0,0
Singapore,United States,2006,?,50,,JDAM,guided bomb,50,,2009,New,,0.02,1,1
Singapore,United States,2007,?,84,?,Paveway,guided bomb,84,,2009; 2011,New,Incl 28 GBU-10 and 56 GBU-12 version,0.02,1.68,1.68
Singapore,United States,2008,,18,,HIMARS,multiple rocket launcher,18,,2010; 2011,New,,1.1,19.8,19.8
